room_id	host_id	room_type	country	city	neighborhood	reviews	overall_satisfaction	accommodates	bedrooms	price	property_type
2440697	12386257	Entire home/apt	France	Paris	Saint-Thomas-dAquin	5	5.0	7	4.0	907.0	Apartment
4514004	23405558	Entire home/apt	France	Paris	Grandes-Carrières	0	0.0	8	5.0	968.0	House
13795500	2856748	Entire home/apt	France	Paris	Chaillot	2	0.0	10	5.0	968.0	Apartment
14704682	49237581	Entire home/apt	France	Paris	Saint-Merri	7	5.0	16	5.0	787.0	Apartment
11650709	54955134	Shared room	France	Paris	Necker	38	5.0	1	1.0	43.0	Apartment
8538842	44952033	Shared room	France	Paris	Goutte-dOr	0	0.0	1	1.0	48.0	Apartment
13136578	73033887	Shared room	France	Paris	Batignolles	3	5.0	2	1.0	61.0	Apartment
6200415	6135669	Shared room	France	Paris	Porte-Saint-Denis	0	0.0	1	1.0	58.0	Apartment
9045088	47197712	Shared room	France	Paris	Sainte-Marguerite	1	0.0	2	1.0	60.0	Apartment
6274536	9274571	Shared room	France	Paris	Grandes-Carrières	0	0.0	2	1.0	58.0	Apartment
17409682	108235112	Shared room	France	Paris	Plaisance	0	0.0	1	1.0	46.0	Apartment
11310676	7865072	Shared room	France	Paris	Saint-Vincent-de-Paul	2	0.0	2	1.0	48.0	Apartment
18670894	22493664	Shared room	France	Paris	Porte-Dauphine	7	4.5	1	1.0	42.0	Condominium
7216775	17325646	Shared room	France	Paris	Croulebarbe	0	0.0	2	1.0	61.0	House
9854424	50729334	Shared room	France	Paris	Saint-Lambert	0	0.0	3	1.0	55.0	Apartment
5507666	14603214	Shared room	France	Paris	Rochechouart	0	0.0	1	1.0	42.0	Apartment
16312496	85285275	Shared room	France	Paris	Porte-Dauphine	3	5.0	4	1.0	42.0	Guesthouse
13346260	880228	Shared room	France	Paris	Archives	6	5.0	2	1.0	61.0	Apartment
15024691	19192072	Shared room	France	Paris	Picpus	4	5.0	1	1.0	57.0	Apartment
17826830	108952901	Shared room	France	Paris	Ternes	3	4.5	1	1.0	48.0	Apartment
3494148	17594006	Shared room	France	Paris	Belleville	1	0.0	2	1.0	61.0	Apartment
16143748	85285275	Shared room	France	Paris	Porte-Dauphine	1	0.0	4	1.0	55.0	Guesthouse
13089108	57096045	Shared room	France	Paris	Chaillot	8	4.5	2	1.0	58.0	Apartment
7340820	1385174	Shared room	France	Paris	Saint-Lambert	0	0.0	2	1.0	48.0	Apartment
8985288	7454551	Shared room	France	Paris	Grandes-Carrières	0	0.0	1	1.0	48.0	Apartment
13964862	83230255	Shared room	France	Paris	Charonne	3	5.0	4	1.0	57.0	Apartment
19311851	135247186	Shared room	France	Paris	Ternes	0	0.0	1	1.0	47.0	Bed & Breakfast
984455	5398885	Shared room	France	Paris	Javel 15Art	59	4.5	1	1.0	46.0	Bed & Breakfast
16533921	108770536	Shared room	France	Paris	Saint-Fargeau	1	0.0	2	1.0	61.0	Apartment
3589938	18085702	Shared room	France	Paris	Folie-Méricourt	0	0.0	2	1.0	61.0	Apartment
14448502	80084213	Shared room	France	Paris	Grenelle	1	0.0	2	1.0	48.0	Apartment
6542767	5268961	Shared room	France	Paris	Chaillot	4	5.0	3	1.0	60.0	Apartment
7042767	36930351	Shared room	France	Paris	Salpêtrière	4	4.5	1	1.0	53.0	Apartment
19300475	16611045	Shared room	France	Paris	Epinettes	0	0.0	1	1.0	47.0	Condominium
5493274	15839425	Shared room	France	Paris	Bonne-Nouvelle	2	0.0	2	1.0	48.0	Apartment
6745996	35320669	Shared room	France	Paris	Ternes	6	4.0	4	1.0	42.0	Apartment
7347323	38492202	Shared room	France	Paris	Faubourg-Montmartre	1	0.0	2	1.0	48.0	Apartment
18303331	16425062	Shared room	France	Paris	Saint-Merri	10	4.5	2	1.0	46.0	Apartment
18784923	130737596	Shared room	France	Paris	Monnaie	0	0.0	1	1.0	48.0	Apartment
10032640	23014815	Shared room	France	Paris	Saint-Lambert	0	0.0	2	1.0	61.0	Apartment
14246809	39318682	Shared room	France	Paris	Faubourg-du-Roule	0	0.0	3	1.0	61.0	Apartment
3362454	14875354	Shared room	France	Paris	Montparnasse	11	3.5	3	1.0	55.0	Apartment
11524672	42260206	Shared room	France	Paris	Clignancourt	11	5.0	2	1.0	55.0	Apartment
1622105	8627303	Shared room	France	Paris	Saint-Ambroise	0	0.0	2	1.0	55.0	Apartment
11019917	6620283	Shared room	France	Paris	Saint-Fargeau	0	0.0	1	1.0	55.0	Apartment
8959856	44133127	Shared room	France	Paris	Porte-Dauphine	0	0.0	2	1.0	56.0	Apartment
15838363	102574302	Shared room	France	Paris	Saint-Fargeau	16	4.5	2	1.0	42.0	Apartment
1388924	7513293	Shared room	France	Paris	Belleville	3	1.0	4	1.0	61.0	Apartment
17073768	35553639	Shared room	France	Paris	Saint-Lambert	4	4.5	2	1.0	61.0	Apartment
4360138	12259453	Shared room	France	Paris	Saint-Ambroise	0	0.0	1	1.0	61.0	Apartment
